Timestamp,Agent Position,Score
2024-11-19 14:31:44,"(5, 6)",0
2024-11-19 14:31:44,"(9, 0)",1000
2024-11-19 14:31:44,"(1, 5)",200
2024-11-19 14:31:44,"(8, 6)",100
2024-11-19 14:31:44,"(4, 8)",700
2024-11-19 14:31:44,"(8, 1)",600
2024-11-19 21:40:43,"(6, 9)",200
2024-11-19 21:40:43,"(8, 9)",800
2024-11-19 21:40:43,"(4, 6)",100
2024-11-19 21:40:43,"(4, 0)",400
2024-11-19 21:40:43,"(0, 3)",600
2024-11-19 21:40:43,"(5, 1)",200
2024-11-19 21:41:42,"(9, 1)",500
2024-11-19 21:41:42,"(0, 4)",500
2024-11-19 21:41:42,"(4, 0)",400
2024-11-19 21:41:42,"(7, 3)",0
2024-11-19 21:41:42,"(2, 3)",0
2024-11-19 21:41:42,"(5, 5)",0
2024-11-19 21:45:54,"(0, 8)",1100
2024-11-19 21:45:54,"(8, 6)",200
2024-11-19 21:45:54,"(1, 5)",1000
2024-11-19 21:45:54,"(9, 3)",0
2024-11-19 21:45:54,"(2, 4)",100
2024-11-19 21:45:54,"(8, 2)",1100
